date,A,B2,C
2016-07-20,0,1,0
2016-08-15,0,1,0
2016-11-15,0,1,0
2016-11-16,0,1,0
2016-11-17,0,1,0
2016-11-20,0,1,0
2016-11-23,0,2,0
2016-11-26,0,1,0
2016-11-27,0,1,0
2016-11-29,0,2,0
2016-11-30,0,3,0
2016-12-05,0,2,0
2016-12-09,0,2,0
2016-12-12,0,4,0
2016-12-13,0,1,0
2016-12-14,0,1,0
2016-12-16,0,1,0
2016-12-17,0,1,0
2016-12-20,0,1,0
2016-12-25,0,1,0
2016-12-29,0,1,0
2016-12-30,0,4,0
2017-01-11,0,1,0
2017-01-12,0,1,0
2017-01-13,0,1,0
2017-01-14,0,2,0
2017-01-16,0,1,0
2017-01-17,0,2,0
2017-01-22,0,2,0
2017-01-25,0,2,0
2017-01-27,0,1,0
2017-01-29,0,1,0
2017-01-31,0,1,0
2017-02-03,0,1,0
2017-02-05,0,1,0
2017-02-06,0,1,0
2017-02-08,0,3,0
2017-02-09,0,3,0
2017-02-10,0,2,0
2017-02-13,0,1,0
2017-02-14,0,2,0
2017-02-15,0,4,0
2017-02-16,0,1,0
2017-02-17,0,1,0
2017-02-18,0,1,0
2017-02-20,0,1,0
2017-02-21,0,2,0
2017-02-22,0,4,0
2017-02-26,0,1,0
2017-02-28,0,2,0
2017-03-02,0,4,0
2017-03-04,0,2,0
2017-03-05,0,2,0
2017-03-08,0,2,0
2017-03-09,0,2,0
2017-03-11,0,1,0
2017-03-12,0,2,0
2017-03-14,0,1,0
2017-03-15,0,1,0
2017-03-16,0,1,0
2017-03-22,0,2,0
2017-03-23,0,2,0
2017-03-24,0,1,0
2017-03-25,0,3,0
2017-03-26,0,3,0
2017-03-27,0,4,0
2017-03-28,0,4,0
2017-03-29,0,3,0
2017-03-30,0,1,0
2017-03-31,0,1,0
2017-04-01,0,2,0
2017-04-04,0,1,0
2017-04-05,0,3,0
2017-04-06,0,1,0
2017-04-07,0,1,0
2017-04-10,0,1,0
2017-04-12,0,1,0
2017-04-13,0,1,0
2017-04-14,0,1,0
2017-04-15,0,3,0
2017-04-16,0,1,0
2017-04-18,0,2,0
2017-04-19,0,2,0
2017-04-20,0,1,0
2017-04-21,0,1,0
2017-04-22,0,1,0
2017-04-24,1,1,0
2017-04-25,0,1,0
2017-04-26,1,1,0
2017-04-28,0,2,0
2017-05-03,0,1,0
2017-05-04,0,1,0
2017-05-05,0,2,0
2017-05-07,0,1,0
2017-05-08,0,2,0
2017-05-09,0,2,0
2017-05-11,0,1,0
2017-05-12,0,2,0
2017-05-13,0,1,0
2017-05-15,0,1,0
2017-05-16,1,0,0
2017-05-17,0,1,1
2017-05-20,0,2,1
2017-05-22,0,2,0
2017-05-29,0,2,0
2017-05-31,0,1,0
2017-06-01,0,1,0
2017-06-05,0,0,1
2017-06-07,0,1,0
2017-06-08,0,1,0
2017-06-09,1,2,0
2017-06-10,0,1,0
2017-06-13,0,2,0
2017-06-14,0,1,0
2017-06-15,0,3,0
2017-06-16,0,2,0
2017-06-19,0,1,0
2017-06-20,0,1,0
2017-06-21,0,1,0
2017-06-22,0,1,0
2017-06-24,0,0,1
2017-06-26,0,2,0
2017-06-29,1,3,1
2017-07-05,0,1,0
2017-07-06,5,2,1
2017-07-07,0,1,0
2017-07-10,0,1,0
2017-07-11,0,1,0
2017-07-14,0,1,0
2017-07-16,0,1,0
2017-07-17,0,1,0
2017-07-18,0,4,0
2017-07-20,0,2,0
2017-07-23,1,0,0
2017-07-25,0,2,0
2017-07-26,0,1,0
2017-07-30,1,2,0
2017-08-02,0,1,0
2017-08-04,0,1,0
2017-08-08,0,1,0
2017-08-10,0,1,0
2017-08-11,1,0,0
2017-08-12,0,1,0
2017-08-15,0,1,0
2017-08-17,1,1,0
2017-08-18,0,1,0
2017-08-20,0,1,0
2017-08-24,0,2,0
2017-08-25,0,1,0
2017-08-26,0,0,1
2017-08-27,0,0,1
2017-08-28,0,1,0
2017-08-30,0,1,0
2017-08-31,0,2,0
2017-09-01,0,3,0
2017-09-02,0,1,0
2017-09-03,0,1,0
2017-09-05,0,5,0
2017-09-06,1,0,0
2017-09-08,0,4,0
2017-09-09,0,1,0
2017-09-10,0,1,0
2017-09-11,0,4,0
2017-09-12,1,2,0
2017-09-13,0,2,0
2017-09-14,0,4,0
2017-09-15,0,3,0
2017-09-16,0,0,1
2017-09-17,0,2,0
2017-09-18,0,3,0
2017-09-19,0,5,0
2017-09-21,0,3,3
2017-09-22,1,3,0
2017-09-23,0,2,0
2017-09-24,0,2,0
2017-09-25,0,2,0
2017-09-26,3,3,0
2017-09-28,0,3,0
2017-09-29,1,2,0
2017-09-30,0,7,0
2017-10-01,0,2,0
2017-10-02,0,3,0
2017-10-03,0,8,0
2017-10-04,1,9,0
2017-10-05,0,3,0
2017-10-06,1,0,0
2017-10-07,0,3,0
2017-10-08,0,1,0
2017-10-09,1,2,0
2017-10-10,0,2,0
2017-10-11,0,5,0
2017-10-12,1,7,0
2017-10-13,0,6,0
2017-10-14,0,2,0
2017-10-16,2,5,3
2017-10-17,1,4,0
2017-10-18,0,1,0
2017-10-19,0,5,0
2017-10-20,1,3,0
2017-10-21,0,7,0
2017-10-23,0,7,0
2017-10-24,1,3,1
2017-10-25,0,2,0
2017-10-26,0,6,0
2017-10-27,0,5,0
2017-10-28,0,3,1
2017-10-29,0,3,0
2017-10-30,0,2,0
2017-10-31,0,8,0
2017-11-01,0,6,0
2017-11-02,1,6,0
2017-11-03,0,3,0
2017-11-04,1,1,0
2017-11-05,0,5,0
2017-11-06,0,1,0
2017-11-07,0,5,0
2017-11-08,1,3,0
2017-11-09,0,1,0
2017-11-10,0,1,0
2017-11-11,0,1,0
2017-11-12,0,2,0
2017-11-14,3,5,0
2017-11-15,1,7,0
2017-11-16,1,2,0
2017-11-17,0,2,0
2017-11-18,0,1,0
2017-11-21,1,4,0
2017-11-22,0,5,0
2017-11-23,0,4,0
2017-11-24,0,1,0
2017-11-25,0,3,0
2017-11-27,0,2,0
2017-11-28,0,2,0
2017-11-29,1,5,0
2017-11-30,0,2,1
2017-12-01,2,9,0
2017-12-02,0,4,0
2017-12-03,0,1,0
2017-12-04,1,1,0
2017-12-05,1,7,0
2017-12-06,1,4,0
2017-12-07,1,5,0
2017-12-08,0,2,0
2017-12-09,0,5,0
2017-12-12,1,5,0
2017-12-13,0,3,0
2017-12-14,0,3,1
2017-12-15,1,3,0
2017-12-16,1,2,0
2017-12-17,0,2,0
2017-12-18,1,3,0
2017-12-19,0,1,0
2017-12-20,0,3,0
2017-12-21,1,1,1
2017-12-22,0,4,0
2017-12-23,1,1,0
2017-12-25,0,7,0
2017-12-26,0,4,0
2017-12-27,0,5,0
2017-12-28,0,6,0
2017-12-29,1,1,0
2017-12-30,2,1,0
2018-01-01,0,1,0
2018-01-03,0,2,0
2018-01-04,0,0,3
2018-01-05,0,1,0
2018-01-06,1,3,0
2018-01-08,0,2,0
2018-01-09,1,1,0
2018-01-10,0,3,1
2018-01-11,2,1,0
2018-01-12,1,3,0
2018-01-13,1,0,0
2018-01-14,0,4,0
2018-01-15,0,5,0
2018-01-16,0,5,1
2018-01-17,1,1,0
2018-01-19,0,1,0
2018-01-20,0,2,0
2018-01-21,0,1,0
2018-01-22,0,3,0
2018-01-23,0,2,0
2018-01-24,0,3,0
2018-01-25,0,1,1
2018-01-26,0,1,0
2018-01-27,0,2,0
2018-01-28,0,3,0
2018-01-29,0,5,0
2018-01-30,0,6,1
2018-01-31,0,7,0
2018-02-01,0,4,0
2018-02-02,0,6,0
2018-02-03,0,1,0
2018-02-04,0,2,0
2018-02-05,0,1,0
2018-02-06,0,1,0
2018-02-07,0,1,0
2018-02-08,0,2,0
2018-02-10,0,2,0
2018-02-11,0,1,0
2018-02-12,0,1,1
2018-02-13,0,4,0
2018-02-14,0,5,0
2018-02-15,0,2,0
2018-02-16,0,3,0
2018-02-17,0,9,0
2018-02-18,1,7,0
2018-02-19,0,4,0
2018-02-20,0,2,0
2018-02-21,1,2,0
2018-02-22,1,5,0
2018-02-23,0,1,0
2018-02-24,1,3,0
2018-02-25,0,2,3
2018-02-26,0,1,0
2018-02-27,0,5,0
2018-02-28,0,3,0
2018-03-01,0,3,1
2018-03-02,0,2,0
2018-03-03,0,3,0
2018-03-04,0,3,0
2018-03-05,1,4,0
2018-03-06,0,2,0
2018-03-08,0,2,0
2018-03-09,1,1,0
2018-03-10,0,5,0
2018-03-11,0,2,0
2018-03-12,0,3,0
2018-03-13,0,1,1
2018-03-14,0,4,0
2018-03-15,0,2,1
2018-03-16,2,2,0
2018-03-17,1,4,0
2018-03-19,0,6,0
2018-03-20,0,5,2
2018-03-21,1,2,0
2018-03-22,0,3,0
2018-03-23,0,2,0
2018-03-24,0,2,0
2018-03-25,0,3,0
2018-03-26,0,3,0
2018-03-27,0,3,1
2018-03-28,2,1,0
2018-03-29,0,5,2
2018-03-30,0,3,0
2018-03-31,3,4,0
2018-04-01,0,5,2
2018-04-02,4,3,0
2018-04-03,2,1,1
2018-04-04,1,3,4
2018-04-05,1,1,2
2018-04-06,6,6,6
2018-04-07,0,3,0
2018-04-08,0,3,0
2018-04-09,1,1,0
2018-04-10,1,6,1
2018-04-11,2,2,0
2018-04-12,1,12,3
2018-04-13,14,2,16
2018-04-14,0,6,0
2018-04-15,1,0,1
2018-04-16,13,2,8
2018-04-17,17,3,7
2018-04-18,15,2,2
2018-04-19,7,1,1
2018-04-20,5,3,1
2018-04-21,3,0,1
2018-04-22,8,4,1
2018-04-23,5,2,2
2018-04-24,2,4,0
2018-04-25,2,2,2
2018-04-26,3,4,0
2018-04-27,2,0,0
2018-04-28,1,2,0
2018-04-29,2,1,0
2018-04-30,1,0,1
2018-05-01,4,3,0
2018-05-02,1,4,0
2018-05-03,0,2,1
2018-05-04,1,5,1
2018-05-05,1,0,3
2018-05-06,1,2,1
2018-05-07,2,12,0
2018-05-08,2,4,0
2018-05-09,0,2,0
2018-05-10,0,9,0
2018-05-11,1,3,1
2018-05-12,1,4,0
2018-05-13,0,1,1
2018-05-14,0,4,1
2018-05-15,3,5,1
2018-05-16,0,6,0
2018-05-17,1,2,0
2018-05-18,0,5,1
2018-05-19,0,1,1
2018-05-20,0,1,0
2018-05-21,1,4,1
2018-05-22,0,1,0
2018-05-23,0,2,2
2018-05-24,1,1,1
2018-05-25,0,2,0
2018-05-26,0,0,1
2018-05-27,0,1,0
2018-05-28,0,1,2
2018-05-30,0,2,1
2018-05-31,1,1,1
2018-06-01,0,0,1
2018-06-02,1,0,1
2018-06-03,0,2,0
2018-06-04,0,5,2
2018-06-05,1,5,0
2018-06-06,1,2,0
2018-06-07,0,3,0
2018-06-08,1,1,1
2018-06-09,0,3,0
2018-06-11,0,1,0
2018-06-12,0,2,0
2018-06-13,0,2,0
2018-06-14,0,2,0
2018-06-15,0,3,0
2018-06-16,0,2,0
2018-06-17,0,2,0
2018-06-18,0,2,0
2018-06-19,0,3,0
2018-06-20,0,1,0
2018-06-21,0,1,0
2018-06-22,0,3,0
2018-06-23,0,2,0
2018-06-24,0,2,0
2018-06-26,0,1,0
2018-06-27,1,3,0
2018-06-28,0,3,0
2018-06-29,1,1,0
2018-06-30,0,3,0
2018-07-01,0,7,0
2018-07-02,0,3,0
2018-07-03,1,1,0
2018-07-04,0,1,0
2018-07-05,1,2,0
2018-07-06,0,1,0
2018-07-07,0,4,0
2018-07-08,0,1,0
2018-07-09,1,1,0
2018-07-10,0,2,0
2018-07-11,0,2,0
2018-07-12,1,1,0
2018-07-13,0,2,0
2018-07-14,0,1,0
2018-07-15,0,1,0
2018-07-16,0,3,0
2018-07-17,0,1,0
2018-07-18,1,0,0
2018-07-20,0,2,0
2018-07-22,0,2,0
2018-07-23,0,3,0
2018-07-24,0,2,0
2018-07-25,0,1,0
2018-07-27,0,0,1
2018-07-28,0,1,0
2018-07-29,0,1,1
2018-07-30,0,0,1
2018-07-31,1,2,0
2018-08-01,0,7,0
2018-08-02,1,2,1
2018-08-03,1,2,0
2018-08-04,0,2,0
2018-08-06,0,2,0
2018-08-07,0,1,2
2018-08-08,0,7,0
2018-08-09,0,7,0
2018-08-10,0,1,0
2018-08-11,0,2,0
2018-08-13,1,0,0
2018-08-14,0,3,0
2018-08-15,0,1,0
2018-08-16,0,2,0
2018-08-17,1,4,0
2018-08-18,0,1,0
2018-08-21,0,2,0
2018-08-22,0,2,0
2018-08-23,0,4,0
2018-08-24,0,4,0
2018-08-25,0,2,0
2018-08-26,0,1,1
2018-08-27,0,2,0
2018-08-28,1,4,1
2018-08-29,0,3,0
2018-08-30,0,8,0
2018-08-31,0,7,0
2018-09-01,0,6,0
2018-09-02,0,7,0
2018-09-03,3,5,0
2018-09-04,1,2,0
2018-09-07,0,5,0
2018-09-08,0,0,4
2018-09-09,0,3,0
2018-09-10,0,4,0
2018-09-11,0,3,0
2018-09-12,0,1,1
2018-09-13,0,1,0
2018-09-15,0,4,0
2018-09-16,0,2,0
2018-09-17,0,5,0
2018-09-18,0,8,2
2018-09-19,0,5,0
2018-09-20,0,2,0
2018-09-21,0,1,0
2018-09-23,0,1,0
2018-09-24,0,10,0
2018-09-25,0,3,0
2018-09-27,0,2,0
2018-09-28,0,3,0
2018-09-29,0,2,0
2018-09-30,0,1,0
2018-10-01,0,2,0
2018-10-02,0,5,0
2018-10-03,0,5,0
2018-10-04,0,4,0
2018-10-05,0,5,0
2018-10-06,0,2,0
2018-10-07,0,3,0
2018-10-08,0,4,0
2018-10-09,2,3,0
2018-10-10,0,3,0
2018-10-11,0,2,0
2018-10-12,0,3,0
2018-10-13,1,1,0
2018-10-14,0,1,0
2018-10-15,0,4,0
2018-10-16,0,5,0
2018-10-17,0,2,0
2018-10-20,0,1,0
2018-10-21,0,5,0
2018-10-22,0,4,0
2018-10-23,1,3,0
2018-10-24,0,5,0
2018-10-25,0,2,0
2018-10-26,0,2,0
2018-10-27,0,1,0
2018-10-28,0,1,0
2018-10-29,0,2,0
2018-10-30,1,2,0
2018-10-31,1,2,0
2018-11-01,0,5,0
2018-11-02,0,1,0
2018-11-03,0,1,0
2018-11-04,0,1,1
2018-11-05,0,5,0
2018-11-06,2,2,0
2018-11-07,0,4,1
2018-11-08,0,1,0
2018-11-09,0,3,0
2018-11-10,0,1,0
2018-11-11,1,2,1
2018-11-12,0,5,0
2018-11-13,2,3,0
2018-11-14,2,1,0
2018-11-15,0,1,0
2018-11-16,0,2,0
2018-11-18,0,1,0
2018-11-19,0,3,0
2018-11-20,0,3,0
2018-11-21,0,3,0
2018-11-22,1,11,1
2018-11-23,0,3,0
2018-11-24,0,1,0
2018-11-25,0,1,2
2018-11-26,0,13,0
2018-11-27,0,5,0
2018-11-28,0,9,0
2018-11-29,0,6,0
2018-11-30,0,6,0
2018-12-01,0,6,0
2018-12-02,0,3,1
2018-12-03,0,4,0
2018-12-04,1,5,1
2018-12-05,0,1,0
2018-12-06,0,4,0
2018-12-07,0,4,0
2018-12-08,0,2,0
2018-12-09,1,1,0
2018-12-10,0,2,0
2018-12-11,1,1,0
2018-12-12,0,4,0
2018-12-13,0,5,0
2018-12-14,1,2,0
2018-12-15,0,1,0
2018-12-16,1,1,0
2018-12-17,0,3,0
2018-12-18,5,3,0
2018-12-19,3,5,0
2018-12-20,1,9,0
2018-12-21,3,5,0
2018-12-23,1,0,0
2018-12-24,0,5,0
2018-12-25,0,7,0
2018-12-26,0,3,0
2018-12-27,0,5,1
2018-12-28,0,5,0
2018-12-29,1,2,0
2018-12-30,1,4,0
2018-12-31,1,3,2
2019-01-01,0,3,0
2019-01-03,1,2,0
2019-01-04,1,2,0
2019-01-05,1,1,0
2019-01-06,0,1,0
2019-01-07,0,1,0
2019-01-08,0,3,0
2019-01-10,2,1,0
2019-01-11,0,2,0
2019-01-12,1,1,0
2019-01-13,0,3,0
2019-01-14,1,2,0
2019-01-15,0,2,0
2019-01-16,2,1,0
2019-01-17,0,1,0
2019-01-18,1,4,0
2019-01-19,0,1,0
2019-01-20,0,3,0
2019-01-21,4,0,0
2019-01-22,0,3,0
2019-01-23,0,4,0
2019-01-24,1,1,0
2019-01-25,0,1,3
2019-01-26,0,3,0
2019-01-28,0,2,0
2019-01-29,1,2,0
2019-01-30,0,2,0
2019-01-31,1,6,0
2019-02-01,0,0,2
2019-02-02,0,4,0
2019-02-03,0,6,0
2019-02-04,2,1,0
2019-02-05,0,1,0
2019-02-06,1,1,0
2019-02-07,0,1,0
2019-02-08,0,1,0
2019-02-10,0,2,0
2019-02-13,0,4,0
2019-02-14,0,3,0
2019-02-16,0,1,0
2019-02-17,0,1,0
2019-02-18,0,5,0
2019-02-19,0,6,0
2019-02-21,0,2,0
2019-02-22,0,1,0
2019-02-23,0,2,0
2019-02-24,1,2,0
2019-02-25,0,2,0
2019-02-26,0,3,1
2019-02-27,0,4,0
2019-02-28,0,3,0
2019-03-01,0,2,0
2019-03-02,0,1,0
2019-03-04,1,3,0
2019-03-05,0,9,0
2019-03-06,1,6,0
2019-03-07,1,0,0
2019-03-08,0,1,0
2019-03-10,1,3,0
2019-03-11,0,3,0
2019-03-12,0,2,0
2019-03-13,0,3,0
2019-03-14,0,6,0
2019-03-15,0,4,0
2019-03-17,0,5,0
2019-03-18,0,5,0
2019-03-19,1,14,0
2019-03-20,0,4,2
2019-03-22,1,10,0
2019-03-23,0,4,0
2019-03-24,0,5,0
2019-03-25,0,1,0
2019-03-26,0,4,0
2019-03-27,1,4,0
2019-03-28,0,4,0
2019-03-29,0,2,0
2019-03-30,0,3,0
2019-03-31,0,4,1
2019-04-01,0,3,1
2019-04-02,0,5,0
2019-04-03,0,5,0
2019-04-04,0,2,0
2019-04-05,3,1,0
2019-04-06,1,0,0
2019-04-07,1,1,0
2019-04-08,0,4,1
2019-04-09,0,0,1
2019-04-10,0,2,0
2019-04-11,0,4,0
2019-04-12,0,1,0
2019-04-13,3,5,1
2019-04-14,1,1,0
2019-04-15,0,1,0
2019-04-16,3,1,0
2019-04-17,0,6,0
2019-04-18,1,10,0
2019-04-19,3,6,0
2019-04-20,1,1,1
2019-04-21,1,6,1
2019-04-22,0,5,0
2019-04-23,0,2,0
2019-04-24,0,8,0
2019-04-25,1,7,1
2019-04-26,0,3,0
2019-04-27,0,2,0
2019-04-28,0,1,0
2019-04-29,0,2,0
2019-04-30,2,1,0
2019-05-01,0,5,0
2019-05-02,0,1,0
2019-05-03,0,3,0
2019-05-04,0,1,0
2019-05-05,0,1,1
2019-05-06,0,4,0
2019-05-07,0,2,1
2019-05-08,1,1,0
2019-05-09,0,5,0
2019-05-10,0,1,0
2019-05-11,0,3,0
2019-05-12,0,1,0
2019-05-13,0,2,1
2019-05-14,0,1,0
2019-05-15,1,3,1
2019-05-16,2,4,0
2019-05-17,0,5,0
2019-05-20,0,3,0
2019-05-21,0,2,0
2019-05-22,0,4,0
2019-05-23,0,8,0
2019-05-24,0,1,0
2019-05-26,0,1,0
2019-05-27,0,3,1
2019-05-28,0,7,0
2019-05-29,1,10,0
2019-05-30,1,4,1
2019-05-31,1,5,0
2019-06-01,0,1,0
2019-06-02,3,3,0
2019-06-03,2,4,0
2019-06-04,0,2,1
2019-06-05,3,1,0
2019-06-06,0,5,1
2019-06-07,4,1,0
2019-06-09,0,4,1
2019-06-10,1,4,0
2019-06-11,0,13,0
2019-06-12,0,5,0
2019-06-13,1,4,2
2019-06-14,0,3,1
2019-06-15,0,0,1
2019-06-16,0,0,1
2019-06-17,2,4,1
2019-06-18,0,7,2
2019-06-19,1,6,0
2019-06-20,1,2,0
2019-06-21,2,9,0
2019-06-22,1,3,0
2019-06-23,0,5,0
2019-06-24,0,8,1
2019-06-25,0,4,0
2019-06-26,0,8,0
2019-06-27,0,2,0
2019-06-28,0,5,0
2019-06-29,0,5,0
2019-06-30,0,1,0
2019-07-01,0,5,0
2019-07-02,0,3,0
2019-07-03,0,8,0
2019-07-04,0,3,0
2019-07-05,3,3,0
2019-07-06,0,9,0
2019-07-07,0,1,0
2019-07-08,0,11,1
2019-07-09,0,7,0
2019-07-10,2,7,0
2019-07-11,1,14,0
2019-07-12,3,15,0
2019-07-13,0,4,0
2019-07-15,0,2,0
2019-07-16,0,18,0
2019-07-17,0,9,1
2019-07-18,0,10,0
2019-07-19,0,4,0
2019-07-20,0,4,0
2019-07-21,1,1,0
2019-07-22,1,1,1
2019-07-23,2,9,0
2019-07-24,0,7,1
2019-07-25,0,6,0
2019-07-26,1,1,0
2019-07-27,0,3,0
2019-07-28,0,7,0
2019-07-29,0,6,0
2019-07-30,2,6,0
2019-07-31,1,5,0
2019-08-01,0,5,1
2019-08-02,0,4,0
2019-08-03,0,2,0
2019-08-04,1,1,0
2019-08-05,0,4,1
2019-08-06,1,5,0
2019-08-07,0,15,1
2019-08-08,0,16,3
2019-08-09,0,7,0
2019-08-10,0,5,2
2019-08-11,1,10,0
2019-08-12,0,4,0
2019-08-13,1,20,0
2019-08-14,0,6,0
2019-08-15,0,10,3
2019-08-16,0,10,0
2019-08-17,0,1,0
2019-08-18,0,3,1
2019-08-19,3,9,0
2019-08-20,3,9,0
2019-08-21,0,8,0
2019-08-22,1,17,0
2019-08-23,0,19,0
2019-08-24,0,17,1
2019-08-25,0,7,0
2019-08-26,0,14,0
2019-08-27,1,7,0
2019-08-28,0,15,1
2019-08-29,0,11,0
2019-08-30,0,9,0
2019-08-31,0,5,0
2019-09-01,0,3,0
2019-09-02,1,4,0
2019-09-03,0,4,0
2019-09-04,0,4,0
2019-09-05,0,8,0
2019-09-06,2,6,0
2019-09-07,0,8,1
2019-09-08,0,12,0
2019-09-09,0,18,0
2019-09-10,0,20,0
2019-09-11,2,12,0
2019-09-12,0,3,0
2019-09-13,2,12,3
2019-09-14,1,4,0
2019-09-15,0,1,0
2019-09-16,0,12,0
