doc_id,group,period,channel,blame,colored,unsure
31297,C_after,after,mardanaka,net_atribucii,False,
3235,A_after_sample,after,PravdaShuravi,ispolniteli,True,
28447,C_after,after,holmogor_talks,sistema,True,
257,C_after,after,ASWman,sistema,True,
41487,A_after_sample,after,readovkanews,ispolniteli,True,
9403,intersection,before,SolovievLive,net_atribucii,False,
41401,A_after_sample,after,readovkanews,ispolniteli,False,
35259,C_after,after,nationconsunion,ispolniteli,True,
318,C_after,after,ASWman,net_atribucii,True,
32532,C_after,after,mig41,net_atribucii,False,
36632,C_after,after,new_militarycolumnist,net_atribucii,False,
34077,C_after,after,milinfolive,ispolniteli,True,
2775,intersection,before,Agdchan,net_atribucii,False,
50142,C_after,after,rybar,sistema,True,
51184,A_after_sample,after,sashakots,net_atribucii,False,
32460,C_after,after,mig41,net_atribucii,False,
51456,intersection,before,sashakots,net_atribucii,False,
46886,C_after,after,russia_nacionalist,sistema,True,
25403,C_after,after,epoddubny,vneshnij,True,
61165,C_after,after,warhistoryalconafter,ispolniteli,True,
5781,C_after,after,SolovievLive,net_atribucii,False,
18169,C_after,after,bomber_fighter,net_atribucii,True,
18384,C_after,after,boris_rozhin,sistema,True,
31345,C_after,after,mardanaka,ispolniteli,True,
46694,A_after_sample,after,rusfleet,ispolniteli,True,
28250,C_after,after,Hard_Blog_Line,ispolniteli,True,
35260,C_after,after,nationconsunion,ispolniteli,True,
207,A_after_sample,after,ASWman,meta_ironiya,True,
55582,C_after,after,voenacher,net_atribucii,False,
41494,C_after,after,readovkanews,vneshnij,False,
31315,C_after,after,mardanaka,sistema,True,
48449,C_after,after,RVvoenkor,net_atribucii,False,
3784,C_after,after,SIL0VIKI,sistema,True,
28244,C_after,after,Hard_Blog_Line,net_atribucii,True,
52983,C_after,after,vadim_trukhachyov,sistema,True,
61206,C_after,after,warhistoryalconafter,ispolniteli,True,
44749,C_after,after,rightcourse,sistema,True,
24217,C_after,after,dva_majors,meta_ironiya,True,
27587,intersection,before,golosmordora1,sistema,True,
46452,C_after,after,RSaponkov,sistema,True,
51159,C_after,after,sashakots,net_atribucii,False,
17241,C_after,after,Ural_Otvag2022,net_atribucii,False,
5722,A_after_sample,after,SolovievLive,net_atribucii,False,
27486,C_after,after,golosmordora1,net_atribucii,False,
35404,intersection,before,nationconsunion,net_atribucii,False,
24194,C_after,after,dva_majors,sistema,True,
44802,C_after,after,rightcourse,sistema,True,
3222,A_after_sample,after,PravdaShuravi,ispolniteli,True,
21663,intersection,before,chvkmedia,net_atribucii,False,
33234,intersection,before,mig41,net_atribucii,False,
36643,C_after,after,new_militarycolumnist,net_atribucii,False,
52131,C_after,after,soldat_prav,sistema,True,
52922,C_after,after,vadim_trukhachyov,sistema,True,
27765,intersection,before,golosmordora1,net_atribucii,False,
1335,C_after,after,AdekVatnye_novosty,net_atribucii,False,
24151,C_after,after,dva_majors,sistema,True,
25391,C_after,after,epoddubny,net_atribucii,False,
57357,C_after,after,WarDonbass,ispolniteli,True,
61313,A_after_sample,after,warhistoryalconafter,net_atribucii,False,
23157,C_after,after,donrf22,net_atribucii,False,
1258,C_after,after,AdekVatnye_novosty,net_atribucii,False,
64993,A_after_sample,after,yurasumy,vneshnij,True,
37820,C_after,after,olegsepar,ispolniteli,True,
160,C_after,after,ASWman,sistema,True,
57411,C_after,after,WarDonbass,sistema,True,
328,C_after,after,ASWman,net_atribucii,False,
18293,C_after,after,boris_rozhin,net_atribucii,False,
38690,A_after_sample,after,opoveshenie,ispolniteli,True,
48448,intersection,after,RVvoenkor,ispolniteli,False,
48444,C_after,after,RVvoenkor,net_atribucii,False,
47078,intersection,before,russia_nacionalist,net_atribucii,False,
41355,A_after_sample,after,readovkanews,ispolniteli,False,
46449,C_after,after,RSaponkov,sistema,True,
34432,C_after,after,militarymaps,sistema,True,
52004,C_after,after,sibrednek,sistema,True,
17966,A_after_sample,after,astramilitarum,ispolniteli,True,
969,intersection,before,ASWman,net_atribucii,False,
44826,C_after,after,rightcourse,ispolniteli,True,
32546,A_after_sample,after,mig41,net_atribucii,False,
44716,C_after,after,rightcourse,sistema,True,
3747,C_after,after,SIL0VIKI,net_atribucii,False,
20399,intersection,after,chvkmedia,sistema,True,
41306,A_after_sample,after,readovkanews,ispolniteli,False,
31358,C_after,after,mardanaka,sistema,True,True
23859,intersection,before,donrf22,ispolniteli,True,
178,C_after,after,ASWman,sistema,True,
52946,intersection,after,vadim_trukhachyov,ispolniteli,True,
24221,C_after,after,dva_majors,sistema,True,
6060,C_after,after,SolovievLive,net_atribucii,False,
40365,C_after,after,podled,ispolniteli,True,
3246,C_after,after,PravdaShuravi,net_atribucii,False,
18333,A_after_sample,after,boris_rozhin,vneshnij,True,
61178,A_after_sample,after,warhistoryalconafter,ispolniteli,False,
44668,C_after,after,rightcourse,sistema,True,
28452,C_after,after,holmogor_talks,sistema,True,
3241,C_after,after,PravdaShuravi,sistema,True,
1276,C_after,after,AdekVatnye_novosty,net_atribucii,False,
37791,C_after,after,olegsepar,net_atribucii,False,
6270,C_after,after,SolovievLive,net_atribucii,False,
16716,A_after_sample,after,SonOfMonarchy,ispolniteli,True,
44793,C_after,after,rightcourse,sistema,True,
188,C_after,after,ASWman,sistema,True,
44295,intersection,before,readovkanews,net_atribucii,False,
44654,C_after,after,rightcourse,net_atribucii,False,
1249,C_after,after,AdekVatnye_novosty,sistema,True,
37876,C_after,after,olegsepar,ispolniteli,True,
44685,C_after,after,rightcourse,sistema,True,
23198,C_after,after,donrf22,sistema,True,
39378,intersection,before,opoveshenie,net_atribucii,False,
45185,intersection,before,rightcourse,putin_lichno,True,
140,C_after,after,ASWman,vneshnij,True,
27757,intersection,before,golosmordora1,sistema,True,
48,A_after_sample,after,ASWman,net_atribucii,False,
2482,intersection,before,Agdchan,net_atribucii,False,
61320,intersection,after,warhistoryalconafter,net_atribucii,False,
28436,C_after,after,holmogor_talks,sistema,True,
25397,C_after,after,epoddubny,net_atribucii,False,
40383,C_after,after,podled,sistema,True,
56342,C_after,after,voenkorKotenok,sistema,True,
20365,C_after,after,chvkmedia,sistema,True,
324,C_after,after,ASWman,sistema,True,
61222,A_after_sample,after,warhistoryalconafter,net_atribucii,False,
52937,A_after_sample,after,vadim_trukhachyov,ispolniteli,True,
32454,intersection,after,mig41,meta_ironiya,True,
61102,intersection,before,wargonzo,net_atribucii,False,
18331,C_after,after,boris_rozhin,vneshnij,True,
36595,intersection,before,nationconsunion,net_atribucii,False,
44753,C_after,after,rightcourse,net_atribucii,False,
10022,intersection,before,SolovievLive,net_atribucii,False,
3262,C_after,after,PravdaShuravi,meta_ironiya,True,
36667,C_after,after,new_militarycolumnist,net_atribucii,False,
50172,C_after,after,rybar,net_atribucii,False,
28426,C_after,after,holmogor_talks,sistema,True,
24238,C_after,after,dva_majors,sistema,True,
61464,C_after,after,warhistoryalconafter,ispolniteli,True,
36628,C_after,after,new_militarycolumnist,net_atribucii,False,
40356,A_after_sample,after,podled,ispolniteli,True,
46888,C_after,after,russia_nacionalist,vneshnij,False,False
28249,C_after,after,Hard_Blog_Line,vneshnij,True,False
1332,C_after,after,AdekVatnye_novosty,ispolniteli,True,False
52,A_after_sample,after,ASWman,ispolniteli,True,False
2956,A_after_sample,after,CVOixZ,ispolniteli,True,False
18377,C_after,after,boris_rozhin,ispolniteli,False,False
31347,A_after_sample,after,mardanaka,sistema,True,False
28402,C_after,after,holmogor_talks,sistema,True,False
61417,intersection,after,warhistoryalconafter,meta_ironiya,True,False
36641,C_after,after,new_militarycolumnist,ispolniteli,False,False
35247,C_after,after,nationconsunion,sistema,True,False
28446,C_after,after,holmogor_talks,sistema,True,False
24204,intersection,after,dva_majors,meta_ironiya,True,False
3185,C_after,after,PravdaShuravi,sistema,True,False
23286,A_after_sample,after,donrf22,ispolniteli,True,False
3787,C_after,after,SIL0VIKI,sistema,False,False
56926,C_after,after,vysokygovorit,sistema,True,False
276,C_after,after,ASWman,sistema,True,False
22799,C_after,after,DonbassYasinovatayanaliniiOgnia,net_atribucii,False,False
53666,C_after,after,veteranrossii_online,net_atribucii,False,False
28421,C_after,after,holmogor_talks,sistema,True,False
61416,A_after_sample,after,warhistoryalconafter,ispolniteli,True,False
272,C_after,after,ASWman,net_atribucii,False,False
3739,C_after,after,SIL0VIKI,sistema,True,False
31250,A_after_sample,after,mardanaka,ispolniteli,True,False
25422,C_after,after,epoddubny,net_atribucii,False,False
35271,A_after_sample,after,nationconsunion,ispolniteli,True,False
32536,C_after,after,mig41,sistema,True,False
40076,A_after_sample,after,panteri_panteri,sistema,True,False
16687,intersection,after,SonOfMonarchy,meta_ironiya,True,False
35250,C_after,after,nationconsunion,ispolniteli,False,False
16689,C_after,after,SonOfMonarchy,vneshnij,True,False
102,C_after,after,ASWman,sistema,True,True
64997,A_after_sample,after,yurasumy,ispolniteli,True,False
1277,C_after,after,AdekVatnye_novosty,net_atribucii,False,False
61277,A_after_sample,after,warhistoryalconafter,net_atribucii,False,False
52124,A_after_sample,after,soldat_prav,net_atribucii,False,False
24225,C_after,after,dva_majors,sistema,True,False
54258,intersection,before,veteranrossii_online,net_atribucii,False,False
56343,C_after,after,voenkorKotenok,vneshnij,True,False
44729,A_after_sample,after,rightcourse,ispolniteli,True,False
326,C_after,after,ASWman,sistema,True,False
44754,C_after,after,rightcourse,net_atribucii,False,False
190,intersection,after,ASWman,ispolniteli,True,False
44715,A_after_sample,after,rightcourse,sistema,True,False
22817,intersection,before,DonbassYasinovatayanaliniiOgnia,kreml_ap,True,False
5475,intersection,after,Sladkov_plus,net_atribucii,False,False
17300,C_after,after,ZAnashihPugachev,sistema,True,False
34085,A_after_sample,after,milinfolive,sistema,True,False
23129,C_after,after,donrf22,sistema,True,False
59,C_after,after,ASWman,net_atribucii,False,False
20391,A_after_sample,after,chvkmedia,ispolniteli,True,False
18295,A_after_sample,after,boris_rozhin,ispolniteli,False,False
56913,C_after,after,vysokygovorit,sistema,True,False
44758,C_after,after,rightcourse,sistema,True,False
31060,A_after_sample,after,kramnikcat,sistema,True,False
46874,intersection,after,russia_nacionalist,ispolniteli,True,False
1330,C_after,after,AdekVatnye_novosty,net_atribucii,False,False
48517,A_after_sample,after,RVvoenkor,ispolniteli,False,False
31349,C_after,after,mardanaka,ispolniteli,True,False
3769,C_after,after,SIL0VIKI,net_atribucii,False,False
3779,C_after,after,SIL0VIKI,vneshnij,True,False
53702,C_after,after,veteranrossii_online,ispolniteli,True,False
40319,C_after,after,podled,sistema,True,False
17967,A_after_sample,after,astramilitarum,ispolniteli,True,False
3785,C_after,after,SIL0VIKI,sistema,True,False
61186,C_after,after,warhistoryalconafter,net_atribucii,False,False
25416,C_after,after,epoddubny,net_atribucii,False,False
41444,A_after_sample,after,readovkanews,ispolniteli,False,False
64999,A_after_sample,after,yurasumy,ispolniteli,False,False
24219,intersection,after,dva_majors,meta_ironiya,True,False
36654,C_after,after,new_militarycolumnist,net_atribucii,False,False
1334,A_after_sample,after,AdekVatnye_novosty,sistema,True,False
37824,C_after,after,olegsepar,sistema,True,False
20358,C_after,after,chvkmedia,net_atribucii,False,False
246,C_after,after,ASWman,net_atribucii,False,False
25691,A_after_sample,after,first_political,ispolniteli,False,False
32474,A_after_sample,after,mig41,ispolniteli,False,False
28377,intersection,after,holmogor_talks,ispolniteli,True,False
41393,A_after_sample,after,readovkanews,ispolniteli,True,False
12329,intersection,before,SolovievLive,kreml_ap,False,False
24250,C_after,after,dva_majors,net_atribucii,False,False
6181,C_after,after,SolovievLive,net_atribucii,False,False
65468,C_after,after,zeleniy_krai,net_atribucii,False,False
56826,C_after,after,voyskozabotaOPSB,sistema,True,False
44742,C_after,after,rightcourse,sistema,True,False
6122,C_after,after,SolovievLive,net_atribucii,False,False
226,A_after_sample,after,ASWman,ispolniteli,True,False
37559,A_after_sample,after,notes_veterans,ispolniteli,False,False
61248,A_after_sample,after,warhistoryalconafter,ispolniteli,False,False
46878,C_after,after,russia_nacionalist,sistema,True,False
28614,intersection,before,holmogor_talks,ispolniteli,True,False
23269,C_after,after,donrf22,sistema,True,False
22794,C_after,after,DonbassYasinovatayanaliniiOgnia,sistema,False,False
17399,A_after_sample,after,Za_PobedyZaRF,net_atribucii,False,False
45897,intersection,before,rightcourse,peskov,True,False
24247,C_after,after,dva_majors,net_atribucii,False,False
55135,intersection,before,veteranrossii_online,net_atribucii,False,False
41499,A_after_sample,after,readovkanews,ispolniteli,True,False
50148,C_after,after,rybar,net_atribucii,False,False
18340,C_after,after,boris_rozhin,sistema,False,False
18302,A_after_sample,after,boris_rozhin,ispolniteli,True,False
44673,C_after,after,rightcourse,sistema,True,False
29212,C_after,after,istorijaoruzijaZ,sistema,True,False
44675,A_after_sample,after,rightcourse,ispolniteli,False,False
32486,C_after,after,mig41,net_atribucii,False,False
51961,C_after,after,sevslavo,net_atribucii,False,True
52947,C_after,after,vadim_trukhachyov,sistema,True,False
28242,C_after,after,Hard_Blog_Line,sistema,True,False
5767,A_after_sample,after,SolovievLive,ispolniteli,True,False
24224,C_after,after,dva_majors,ispolniteli,True,False
34064,C_after,after,milinfolive,net_atribucii,False,False
32468,A_after_sample,after,mig41,ispolniteli,True,False
52941,C_after,after,vadim_trukhachyov,sistema,True,False
60974,intersection,before,wargonzo,kreml_ap,False,False
83,A_after_sample,after,ASWman,ispolniteli,True,False
52903,C_after,after,vadim_trukhachyov,sistema,True,False
24989,intersection,before,dva_majors,net_atribucii,False,False
50937,A_after_sample,after,sanya_florida,sistema,True,False
24215,C_after,after,dva_majors,ispolniteli,True,False
28,intersection,after,ASWman,sistema,True,False
46439,C_after,after,RSaponkov,net_atribucii,False,False
61395,C_after,after,warhistoryalconafter,ispolniteli,True,False
23124,C_after,after,donrf22,sistema,True,False
18153,C_after,after,bomber_fighter,sistema,True,False
40652,intersection,before,podled,net_atribucii,False,False
61207,A_after_sample,after,warhistoryalconafter,ispolniteli,False,False
25645,C_after,after,first_political,vneshnij,True,False
303,C_after,after,ASWman,sistema,True,False
41745,intersection,before,readovkanews,peskov,False,False
55457,C_after,after,vlagr,ispolniteli,True,False
23153,C_after,after,donrf22,ispolniteli,True,False
37779,C_after,after,olegsepar,ispolniteli,True,False
37827,C_after,after,olegsepar,vneshnij,True,False
55478,A_after_sample,after,vlagr,ispolniteli,True,False
48465,C_after,after,RVvoenkor,net_atribucii,False,False
24208,C_after,after,dva_majors,vneshnij,False,False
50145,C_after,after,rybar,vneshnij,True,False
23307,C_after,after,donrf22,meta_ironiya,True,False
883,intersection,before,ASWman,net_atribucii,False,False
5905,C_after,after,SolovievLive,net_atribucii,False,False
52143,C_after,after,soldat_prav,sistema,True,False
49,A_after_sample,after,ASWman,ispolniteli,True,False
53683,C_after,after,veteranrossii_online,net_atribucii,False,False
56357,C_after,after,voenkorKotenok,ispolniteli,False,False
100,C_after,after,ASWman,sistema,True,False
277,C_after,after,ASWman,ispolniteli,True,False
46441,C_after,after,RSaponkov,sistema,True,False
18152,C_after,after,bomber_fighter,vneshnij,True,False
27498,C_after,after,golosmordora1,sistema,True,False
23262,C_after,after,donrf22,sistema,True,False
18282,A_after_sample,after,boris_rozhin,net_atribucii,False,False
3773,C_after,after,SIL0VIKI,sistema,True,False
29106,C_after,after,ikakprosto,sistema,True,False
52945,C_after,after,vadim_trukhachyov,ispolniteli,True,False
44799,C_after,after,rightcourse,sistema,True,False
23114,C_after,after,donrf22,ispolniteli,True,False
2957,C_after,after,CVOixZ,ispolniteli,True,False
56843,C_after,after,vozlevoiny,sistema,True,False
161,C_after,after,ASWman,sistema,True,False
50141,C_after,after,rybar,sistema,True,False
23264,C_after,after,donrf22,ispolniteli,True,False
44797,C_after,after,rightcourse,sistema,True,False
17240,C_after,after,Ural_Otvag2022,net_atribucii,False,False
61196,C_after,after,warhistoryalconafter,vneshnij,False,False
18356,C_after,after,boris_rozhin,net_atribucii,False,False
3755,C_after,after,SIL0VIKI,sistema,True,False
31301,C_after,after,mardanaka,net_atribucii,False,False
210,C_after,after,ASWman,ispolniteli,True,False
2891,C_after,after,CVOZOVv,sistema,True,False
55469,A_after_sample,after,vlagr,ispolniteli,True,False
25389,C_after,after,epoddubny,net_atribucii,False,False
3759,A_after_sample,after,SIL0VIKI,ispolniteli,False,False
5006,intersection,before,SIL0VIKI,ispolniteli,False,False
31357,C_after,after,mardanaka,sistema,True,False
25332,intersection,before,dva_majors,net_atribucii,False,False
333,C_after,after,ASWman,ispolniteli,True,False
45446,intersection,before,rightcourse,net_atribucii,False,False
50947,C_after,after,sanya_florida,sistema,True,False
23227,A_after_sample,after,donrf22,ispolniteli,True,False
47,A_after_sample,after,ASWman,ispolniteli,True,False
35445,intersection,before,nationconsunion,net_atribucii,False,False
23563,intersection,before,donrf22,net_atribucii,False,False
27449,C_after,after,glockmeister_lj,sistema,True,False
44688,C_after,after,rightcourse,sistema,True,False
23232,C_after,after,donrf22,sistema,True,False
45926,intersection,before,rightcourse,net_atribucii,False,False
98,A_after_sample,after,ASWman,ispolniteli,True,False
18148,C_after,after,bomber_fighter,sistema,True,False
52895,C_after,after,vadim_trukhachyov,sistema,True,False
34074,C_after,after,milinfolive,net_atribucii,False,False
18154,A_after_sample,after,bomber_fighter,ispolniteli,True,False
48450,C_after,after,RVvoenkor,net_atribucii,False,False
122,A_after_sample,after,ASWman,ispolniteli,True,False
52984,C_after,after,vadim_trukhachyov,sistema,True,False
52886,C_after,after,vadim_trukhachyov,sistema,True,False
53012,intersection,before,vadim_trukhachyov,ispolniteli,True,False
20344,C_after,after,chvkmedia,net_atribucii,False,False
92,C_after,after,ASWman,net_atribucii,False,False
20363,C_after,after,chvkmedia,net_atribucii,False,False
50139,C_after,after,rybar,sistema,True,False
48514,A_after_sample,after,RVvoenkor,ispolniteli,False,False
20404,C_after,after,chvkmedia,vneshnij,False,False
1259,C_after,after,AdekVatnye_novosty,net_atribucii,False,False
6152,C_after,after,SolovievLive,sistema,True,False
18647,intersection,before,boris_rozhin,ispolniteli,False,False
64990,A_after_sample,after,yurasumy,net_atribucii,False,False
88,A_after_sample,after,ASWman,kreml_ap,True,False
1255,C_after,after,AdekVatnye_novosty,sistema,True,False
64515,intersection,before,warhistoryalconafter,net_atribucii,False,False
23166,C_after,after,donrf22,meta_ironiya,True,False
55482,A_after_sample,after,vlagr,sistema,True,False
35299,C_after,after,nationconsunion,net_atribucii,False,False
50152,C_after,after,rybar,sistema,True,False
18271,C_after,after,boris_rozhin,vneshnij,True,False
1328,A_after_sample,after,AdekVatnye_novosty,ispolniteli,False,False
28383,C_after,after,holmogor_talks,ispolniteli,True,False
18425,A_after_sample,after,boris_rozhin,ispolniteli,False,False
1272,C_after,after,AdekVatnye_novosty,sistema,True,False
3742,C_after,after,SIL0VIKI,net_atribucii,False,False
84,A_after_sample,after,ASWman,ispolniteli,False,False
37545,C_after,after,notes_veterans,sistema,False,False
46443,C_after,after,RSaponkov,sistema,True,False
61260,A_after_sample,after,warhistoryalconafter,net_atribucii,False,False
40343,A_after_sample,after,podled,ispolniteli,True,False
44638,C_after,after,rightcourse,sistema,True,False
57351,C_after,after,WarDonbass,sistema,True,False
3765,A_after_sample,after,SIL0VIKI,net_atribucii,False,False
1215,C_after,after,AdekVatnye_novosty,net_atribucii,False,False
20398,C_after,after,chvkmedia,net_atribucii,False,False
9139,intersection,before,SolovievLive,net_atribucii,False,False
32591,A_after_sample,after,mig41,net_atribucii,False,False
24253,C_after,after,dva_majors,sistema,True,False
7503,intersection,before,SolovievLive,ispolniteli,False,False
5886,A_after_sample,after,SolovievLive,ispolniteli,True,False
37583,C_after,after,notes_veterans,net_atribucii,False,False
46696,C_after,after,rusfleet,sistema,True,False
55114,intersection,before,veteranrossii_online,net_atribucii,False,False
48556,A_after_sample,after,RVvoenkor,net_atribucii,False,False
32464,C_after,after,mig41,net_atribucii,False,False
214,C_after,after,ASWman,sistema,True,False
3791,C_after,after,SIL0VIKI,sistema,True,False
18164,C_after,after,bomber_fighter,vneshnij,True,False
37555,C_after,after,notes_veterans,net_atribucii,False,False
52147,C_after,after,soldat_prav,meta_ironiya,True,False
57345,A_after_sample,after,WarDonbass,net_atribucii,False,False
17236,C_after,after,Ural_Otvag2022,net_atribucii,False,False
46891,C_after,after,russia_nacionalist,meta_ironiya,True,False
28431,C_after,after,holmogor_talks,sistema,True,False
48512,C_after,after,RVvoenkor,net_atribucii,False,False
44760,intersection,after,rightcourse,ispolniteli,True,False
17239,C_after,after,Ural_Otvag2022,sistema,True,False
61233,A_after_sample,after,warhistoryalconafter,net_atribucii,False,False
44752,C_after,after,rightcourse,sistema,True,False
609,intersection,before,ASWman,net_atribucii,False,False
48491,intersection,after,RVvoenkor,kreml_ap,False,False
27489,C_after,after,golosmordora1,ispolniteli,True,False
320,C_after,after,ASWman,sistema,True,False
16692,C_after,after,SonOfMonarchy,sistema,True,False
27487,C_after,after,golosmordora1,net_atribucii,False,False
22792,C_after,after,DonbassYasinovatayanaliniiOgnia,sistema,True,False
55451,C_after,after,vlagr,net_atribucii,False,False
31332,C_after,after,mardanaka,sistema,True,False
63,C_after,after,ASWman,sistema,True,False
20364,C_after,after,chvkmedia,net_atribucii,False,False
44655,C_after,after,rightcourse,sistema,True,False
24156,C_after,after,dva_majors,net_atribucii,False,False
52925,A_after_sample,after,vadim_trukhachyov,sistema,True,False
3763,C_after,after,SIL0VIKI,net_atribucii,False,False
53681,A_after_sample,after,veteranrossii_online,net_atribucii,False,False
90,C_after,after,ASWman,sistema,True,False
57349,C_after,after,WarDonbass,sistema,True,False
24251,C_after,after,dva_majors,net_atribucii,False,False
55174,intersection,before,veteranrossii_online,net_atribucii,False,False
817,intersection,before,ASWman,sistema,False,True
25394,C_after,after,epoddubny,net_atribucii,False,
32551,C_after,after,mig41,sistema,True,
37828,C_after,after,olegsepar,ispolniteli,True,
46699,C_after,after,rusfleet,net_atribucii,False,
64985,C_after,after,yurasumy,vneshnij,True,
1284,C_after,after,AdekVatnye_novosty,net_atribucii,False,
35298,C_after,after,nationconsunion,sistema,True,
23159,C_after,after,donrf22,sistema,True,
52135,C_after,after,soldat_prav,net_atribucii,False,
31353,C_after,after,mardanaka,ispolniteli,True,
50156,A_after_sample,after,rybar,ispolniteli,True,
18274,A_after_sample,after,boris_rozhin,net_atribucii,False,
18224,C_after,after,boris_rozhin,net_atribucii,False,
371,C_after,after,ASWman,ispolniteli,True,
54960,intersection,before,veteranrossii_online,net_atribucii,False,
367,C_after,after,ASWman,sistema,True,
24207,C_after,after,dva_majors,sistema,True,
22809,C_after,after,DonbassYasinovatayanaliniiOgnia,net_atribucii,False,
23130,C_after,after,donrf22,sistema,True,
40348,A_after_sample,after,podled,ispolniteli,True,
41354,C_after,after,readovkanews,vneshnij,False,
52977,A_after_sample,after,vadim_trukhachyov,ispolniteli,True,
55467,A_after_sample,after,vlagr,ispolniteli,True,
31379,C_after,after,mardanaka,sistema,True,
14584,intersection,before,SolovievLive,net_atribucii,False,
22810,A_after_sample,after,DonbassYasinovatayanaliniiOgnia,ispolniteli,True,
18382,intersection,after,boris_rozhin,ispolniteli,True,
175,C_after,after,ASWman,vneshnij,False,
